"sex","age_group","race_ethnicity_combined","log_odds","odds","probability"
"Male","80+ Years","American Indian/Alaska Native, Non-Hispanic",0.417839640816027,1.5186771210509,0.602966179490781
"Male","80+ Years","Hispanic/Latino",0.373556351622083,1.45289243408207,0.592318038041394
"Male","80+ Years","Black, Non-Hispanic",0.347230132782661,1.41514235854839,0.585945732573278
"Male","80+ Years","Asian, Non-Hispanic",0.0549503991334822,1.05648821064515,0.513734144050217
"Male","80+ Years","Native Hawaiian/Other Pacific Islander, Non-Hispanic",-0.0706024482405346,0.931832270059003,0.482356716212502
"Female","80+ Years","American Indian/Alaska Native, Non-Hispanic",-0.0850653570920681,0.918452255071213,0.478746475260663
"Female","80+ Years","Hispanic/Latino",-0.129348646286012,0.87866756795229,0.46770784940415
"Female","80+ Years","Black, Non-Hispanic",-0.155674865125434,0.855837407727695,0.461159692203635
"Male","80+ Years","White, Non-Hispanic",-0.303935671851517,0.737908333200676,0.424595658530322
"Female","80+ Years","Asian, Non-Hispanic",-0.447954598774613,0.638933691745965,0.389847188427315
"Male","80+ Years","Multiple/Other, Non-Hispanic",-0.530810762179079,0.588127944433666,0.370327810485946
"Female","80+ Years","Native Hawaiian/Other Pacific Islander, Non-Hispanic",-0.573507446148629,0.563545363211627,0.360427894496177
"Female","80+ Years","White, Non-Hispanic",-0.806840669759612,0.446265742250083,0.308564138120141
"Male","70 - 79 Years","American Indian/Alaska Native, Non-Hispanic",-0.810893311574446,0.444460846810163,0.307700169091932
"Male","70 - 79 Years","Hispanic/Latino",-0.85517660076839,0.425208092375385,0.298348076081082
"Male","70 - 79 Years","Black, Non-Hispanic",-0.881502819607812,0.414160035941088,0.292866454584452
"Female","80+ Years","Multiple/Other, Non-Hispanic",-1.03371576008717,0.355682869879352,0.262364361003548
"Male","70 - 79 Years","Asian, Non-Hispanic",-1.17378255325699,0.309195179304053,0.236171950670041
"Male","70 - 79 Years","Native Hawaiian/Other Pacific Islander, Non-Hispanic",-1.29933540063101,0.272712977692629,0.214276889190716
"Female","70 - 79 Years","American Indian/Alaska Native, Non-Hispanic",-1.31379830948254,0.268797140211855,0.211851943618798
"Female","70 - 79 Years","Hispanic/Latino",-1.35808159867648,0.257153627919579,0.204552269673782
"Female","70 - 79 Years","Black, Non-Hispanic",-1.38440781751591,0.250472081061736,0.200302017817998
"Male","70 - 79 Years","White, Non-Hispanic",-1.53266862424199,0.215958585334911,0.177603569677029
"Female","70 - 79 Years","Asian, Non-Hispanic",-1.67668755116509,0.186992353906303,0.1575345900847
"Male","70 - 79 Years","Multiple/Other, Non-Hispanic",-1.75954371456955,0.172123383300081,0.146847495538799
"Female","70 - 79 Years","Native Hawaiian/Other Pacific Islander, Non-Hispanic",-1.8022403985391,0.164928967373695,0.141578561434113
"Male","60 - 69 Years","American Indian/Alaska Native, Non-Hispanic",-1.92575082151262,0.145766271307006,0.127221646296785
"Male","60 - 69 Years","Hispanic/Latino",-1.97003411070656,0.139452099324281,0.122385223044461
"Male","60 - 69 Years","Black, Non-Hispanic",-1.99636032954598,0.135828756563778,0.11958559402449
"Female","70 - 79 Years","White, Non-Hispanic",-2.03557362215008,0.130605542780275,0.115518222614673
"Female","70 - 79 Years","Multiple/Other, Non-Hispanic",-2.26244871247765,0.104095273018304,0.0942810603053623
"Male","60 - 69 Years","Asian, Non-Hispanic",-2.28864006319516,0.101404271527439,0.0920681662027787
"Male","60 - 69 Years","Native Hawaiian/Other Pacific Islander, Non-Hispanic",-2.41419291056918,0.0894394954709347,0.0820967991731128
"Female","60 - 69 Years","American Indian/Alaska Native, Non-Hispanic",-2.42865581942071,0.0881552495520573,0.081013485519044
"Female","60 - 69 Years","Hispanic/Latino",-2.47293910861466,0.0843366198933526,0.0777771573385092
"Female","60 - 69 Years","Black, Non-Hispanic",-2.49926532745408,0.0821453263766781,0.075909699348537
"Male","60 - 69 Years","White, Non-Hispanic",-2.64752613418016,0.070826211053077,0.0661416486839865
"Female","60 - 69 Years","Asian, Non-Hispanic",-2.79154506110326,0.0613263876615073,0.0577827785820269
"Male","60 - 69 Years","Multiple/Other, Non-Hispanic",-2.87440122450772,0.0564499302209981,0.0534336068432409
"Female","60 - 69 Years","Native Hawaiian/Other Pacific Islander, Non-Hispanic",-2.91709790847727,0.0540904351353286,0.0513147955169371
"Male","50 - 59 Years","American Indian/Alaska Native, Non-Hispanic",-3.10556605610235,0.0447991525469718,0.0428782435722331
"Male","50 - 59 Years","Hispanic/Latino",-3.1498493452963,0.0428585832278448,0.0410972148258006
"Female","60 - 69 Years","White, Non-Hispanic",-3.15043113208826,0.0428336559220924,0.0410742937561006
"Male","50 - 59 Years","Black, Non-Hispanic",-3.17617556413572,0.0417450013024631,0.0400721877717393
"Female","60 - 69 Years","Multiple/Other, Non-Hispanic",-3.37730622241582,0.0341392946475754,0.0330122787367922
"Male","50 - 59 Years","Asian, Non-Hispanic",-3.4684552977849,0.0311651343506233,0.0302232235288382
"Male","50 - 59 Years","Native Hawaiian/Other Pacific Islander, Non-Hispanic",-3.59400814515891,0.0274879336996116,0.0267525610745009
"Female","50 - 59 Years","American Indian/Alaska Native, Non-Hispanic",-3.60847105401045,0.027093239314472,0.0263785587105561
"Female","50 - 59 Years","Hispanic/Latino",-3.65275434320439,0.0259196387890089,0.0252647846956164
"Female","50 - 59 Years","Black, Non-Hispanic",-3.67908056204381,0.0252461764602515,0.0246245019390524
"Male","50 - 59 Years","White, Non-Hispanic",-3.8273413687699,0.021767410285251,0.0213036842496024
"Female","50 - 59 Years","Asian, Non-Hispanic",-3.97136029569299,0.0188477771391724,0.0184991100359419
"Male","50 - 59 Years","Multiple/Other, Non-Hispanic",-4.05421645909746,0.0173490685640859,0.0170532112331639
"Female","50 - 59 Years","Native Hawaiian/Other Pacific Islander, Non-Hispanic",-4.09691314306701,0.0166239119189378,0.0163520764404992
"Male","40 - 49 Years","American Indian/Alaska Native, Non-Hispanic",-4.13287190102453,0.0160367566472822,0.0157836382811586
"Male","40 - 49 Years","Hispanic/Latino",-4.17715519021848,0.0153420908744109,0.0151102677730994
"Male","40 - 49 Years","Black, Non-Hispanic",-4.2034814090579,0.0149434618529035,0.0147234426493299
"Female","50 - 59 Years","White, Non-Hispanic",-4.33024636667799,0.0131643038447268,0.0129932566660425
"Male","40 - 49 Years","Asian, Non-Hispanic",-4.49576114270708,0.0111561859331329,0.0110330986333606
"Female","50 - 59 Years","Multiple/Other, Non-Hispanic",-4.55712145700555,0.0104922178158867,0.010383274240909
"Male","40 - 49 Years","Native Hawaiian/Other Pacific Islander, Non-Hispanic",-4.6213139900811,0.00983985808693824,0.00974397871913976
"Female","40 - 49 Years","American Indian/Alaska Native, Non-Hispanic",-4.63577689893263,0.00969856930256009,0.00960541056253975
"Female","40 - 49 Years","Hispanic/Latino",-4.68006018812657,0.00927845541740922,0.00919315711893594
"Female","40 - 49 Years","Black, Non-Hispanic",-4.706386406966,0.00903737604730129,0.00895643339070686
"Male","40 - 49 Years","White, Non-Hispanic",-4.85464721369208,0.00779208180824648,0.00773183471958365
"Female","40 - 49 Years","Asian, Non-Hispanic",-4.99866614061517,0.00674694046960377,0.00670172433447537
"Male","40 - 49 Years","Multiple/Other, Non-Hispanic",-5.08152230401964,0.00621044762682831,0.00617211602351754
"Female","40 - 49 Years","Native Hawaiian/Other Pacific Islander, Non-Hispanic",-5.12421898798919,0.00595086323765473,0.00591565995430618
"Male","30 - 39 Years","American Indian/Alaska Native, Non-Hispanic",-5.13141422109703,0.00590819906287348,0.00587349727179646
"Male","30 - 39 Years","Hispanic/Latino",-5.17569751029098,0.00565227302006082,0.00562050439471146
"Male","30 - 39 Years","Black, Non-Hispanic",-5.2020237291304,0.00550541167751478,0.00547526807272965
"Female","40 - 49 Years","White, Non-Hispanic",-5.35755221160017,0.00471242702565444,0.00469032421506429
"Male","30 - 39 Years","Asian, Non-Hispanic",-5.49430346277958,0.00411011831912712,0.00409329439484927
"Female","40 - 49 Years","Multiple/Other, Non-Hispanic",-5.58442730192774,0.00375590015072791,0.00374184615020834
"Male","30 - 39 Years","Native Hawaiian/Other Pacific Islander, Non-Hispanic",-5.61985631015359,0.00362516197051035,0.00361206764026594
"Female","30 - 39 Years","American Indian/Alaska Native, Non-Hispanic",-5.63431921900513,0.00357310891004322,0.00356038725860629
"Female","30 - 39 Years","Hispanic/Latino",-5.67860250819907,0.00341833219819675,0.00340668701030026
"Female","30 - 39 Years","Black, Non-Hispanic",-5.70492872703849,0.00332951468104678,0.00331846580044564
"Male","30 - 39 Years","White, Non-Hispanic",-5.85318953376458,0.00287072825571107,0.0028625107651752
"Female","30 - 39 Years","Asian, Non-Hispanic",-5.99720846068767,0.00248568137788208,0.00247951808594972
"Male","30 - 39 Years","Multiple/Other, Non-Hispanic",-6.08006462409214,0.00228802878636125,0.00228280566129454
"Female","30 - 39 Years","Native Hawaiian/Other Pacific Islander, Non-Hispanic",-6.12276130806169,0.00219239372257721,0.0021875976472279
"Male","20 - 29 Years","American Indian/Alaska Native, Non-Hispanic",-6.1838760174616,0.00206241837259636,0.0020581735576371
"Male","20 - 29 Years","Hispanic/Latino",-6.22815930665555,0.00197308039208729,0.00196919501202088
"Male","20 - 29 Years","Black, Non-Hispanic",-6.25448552549497,0.00192181442628826,0.00191812813995742
"Female","30 - 39 Years","White, Non-Hispanic",-6.35609453167267,0.00173613390470383,0.00173312496768634
"Male","20 - 29 Years","Asian, Non-Hispanic",-6.54676525914415,0.00143474914177823,0.00143269358588545
"Female","30 - 39 Years","Multiple/Other, Non-Hispanic",-6.58296962200023,0.0013837340204659,0.0013818219464284
"Male","20 - 29 Years","Native Hawaiian/Other Pacific Islander, Non-Hispanic",-6.67231810651816,0.00126546187290817,0.0012638625030979
"Female","20 - 29 Years","American Indian/Alaska Native, Non-Hispanic",-6.6867810153697,0.00124729132937793,0.00124573753175589
"Female","20 - 29 Years","Hispanic/Latino",-6.73106430456364,0.0011932622875726,0.00119184010971685
"Female","20 - 29 Years","Black, Non-Hispanic",-6.75739052340306,0.00116225810554874,0.00116090882985145
"Male","20 - 29 Years","White, Non-Hispanic",-6.90565133012915,0.00100210616370642,0.00100110295226745
"Female","20 - 29 Years","Asian, Non-Hispanic",-7.04967025705224,0.000867695026455548,0.000866942784513204
"Male","20 - 29 Years","Multiple/Other, Non-Hispanic",-7.13252642045671,0.000798698986916962,0.000798061575944758
"Female","20 - 29 Years","Native Hawaiian/Other Pacific Islander, Non-Hispanic",-7.17522310442626,0.000765314953895451,0.000764729694824314
"Male","0 - 9 Years","American Indian/Alaska Native, Non-Hispanic",-7.23292517713352,0.000722404608007787,0.000721883116318116
"Male","0 - 9 Years","Hispanic/Latino",-7.27720846632747,0.00069111213619538,0.00069063483008263
"Male","0 - 9 Years","Black, Non-Hispanic",-7.30353468516689,0.000673155173428138,0.000672702340367542
"Male","10 - 19 Years","American Indian/Alaska Native, Non-Hispanic",-7.37669707546512,0.00062566399794172,0.000625272787269833
"Female","20 - 29 Years","White, Non-Hispanic",-7.40855632803724,0.000606044993448001,0.000605677925373686
"Male","10 - 19 Years","Hispanic/Latino",-7.42098036465906,0.000598562048698037,0.000598203986494342
"Male","10 - 19 Years","Black, Non-Hispanic",-7.44730658349848,0.000583009787553377,0.000582670085190796
"Male","0 - 9 Years","Asian, Non-Hispanic",-7.59581441881607,0.000502550503393259,0.000502298073243697
"Female","20 - 29 Years","Multiple/Other, Non-Hispanic",-7.6354314183648,0.000483030181655307,0.000482796976144218
"Male","0 - 9 Years","Native Hawaiian/Other Pacific Islander, Non-Hispanic",-7.72136726619008,0.000443254142997271,0.00044305775581142
"Female","0 - 9 Years","American Indian/Alaska Native, Non-Hispanic",-7.73583017504162,0.000436889535044459,0.000436698745932395
"Male","10 - 19 Years","Asian, Non-Hispanic",-7.73958631714766,0.000435251593961678,0.00043506223243154
"Female","0 - 9 Years","Hispanic/Latino",-7.78011346423556,0.000417964747869836,0.000417790126325024
"Female","0 - 9 Years","Black, Non-Hispanic",-7.80643968307498,0.00040710489311915,0.000406939226168975
"Male","10 - 19 Years","Native Hawaiian/Other Pacific Islander, Non-Hispanic",-7.86513916452168,0.000383895889004232,0.000383748569505988
"Female","10 - 19 Years","American Indian/Alaska Native, Non-Hispanic",-7.87960207337321,0.000378383595736794,0.000378240475745528
"Female","10 - 19 Years","Hispanic/Latino",-7.92388536256715,0.000361993116118282,0.000361862124520222
"Female","10 - 19 Years","Black, Non-Hispanic",-7.95021158140658,0.00035258755576462,0.000352463281597665
"Male","0 - 9 Years","White, Non-Hispanic",-7.95470048980107,0.000351008369588552,0.000350885205944501
"Male","10 - 19 Years","White, Non-Hispanic",-8.09847238813266,0.000304003182417977,0.000303910792569865
"Female","0 - 9 Years","Asian, Non-Hispanic",-8.09871941672416,0.00030392809421486,0.00030383574999441
"Male","0 - 9 Years","Multiple/Other, Non-Hispanic",-8.18157558012863,0.000279760807131292,0.000279682562911751
"Female","0 - 9 Years","Native Hawaiian/Other Pacific Islander, Non-Hispanic",-8.22427226409818,0.000268067360443139,0.000267995519591591
"Female","10 - 19 Years","Asian, Non-Hispanic",-8.24249131505576,0.000263227648890118,0.000263158378328905
"Male","10 - 19 Years","Multiple/Other, Non-Hispanic",-8.32534747846022,0.000242296717264683,0.000242238023786723
"Female","10 - 19 Years","Native Hawaiian/Other Pacific Islander, Non-Hispanic",-8.36804416242977,0.000232169195203598,0.00023211530518
"Female","0 - 9 Years","White, Non-Hispanic",-8.45760548770916,0.000212279769102197,0.000212234715965696
"Female","10 - 19 Years","White, Non-Hispanic",-8.60137738604075,0.000183852383479251,0.000183818587993721
"Female","0 - 9 Years","Multiple/Other, Non-Hispanic",-8.68448057803672,0.00016919129196631,0.000169162671115431
"Female","10 - 19 Years","Multiple/Other, Non-Hispanic",-8.82825247636832,0.000146534087649985,0.000146512618557096
