state_name,sum_pop,est_deaths,est_perc_dead,,,,
Florida,43509176,3034925.25,6.98,,,,
Hawaii,3073218,202478.63,6.59,,,,
Maine,3108974,201186.24,6.47,,,,
Delaware,2103565,135034.59,6.42,,,,
West Virginia,4087026,258517.56,6.33,,,,
Arizona,13975509,875868.71,6.27,,,,
Pennsylvania,28186172,1747222.79,6.2,,,,
Montana,2359201,145445.64,6.17,,,,
Connecticut,7468148,456810.27,6.12,,,,
Vermont,1417893,86466.33,6.1,,,,
New Mexico,3554930,215689.83,6.07,,,,
South Carolina,11198613,675056.85,6.03,,,,
Iowa,6795956,403586.44,5.94,,,,
New Hampshire,3072948,182433.59,5.94,,,,
Arkansas,6408996,380173.35,5.93,,,,
Rhode Island,2251042,133204.67,5.92,,,,
Alabama,10637004,628007.24,5.9,,,,
South Dakota,1890362,111131.46,5.88,,,,
Michigan,22013284,1290661.18,5.86,,,,
New Jersey,18039212,1055964.11,5.85,,,,
New York,40210183,2347189.91,5.84,,,,
Ohio,25667871,1499698.12,5.84,,,,
Wisconsin,12759505,741770.96,5.81,,,,
Missouri,13412813,778385.39,5.8,,,,
Mississippi,6371896,367702.26,5.77,,,,
Oregon,9139888,526871.02,5.76,,,,
Kansas,6031072,344397.45,5.71,,,,
Maryland,12817299,731404.53,5.71,,,,
North Carolina,22380209,1277273.8,5.71,,,,
Nebraska,3974990,226631.4,5.7,,,,
Massachusetts,14913408,842576.53,5.65,,,,
Illinois,26080684,1471250.58,5.64,,,,
Oklahoma,8202426,461261.23,5.62,,,,
Wyoming,1215262,68093.03,5.6,,,,
Louisiana,9931515,554910.93,5.59,,,,
Nevada,6043211,337606.76,5.59,,,,
Minnesota,12235776,682230.4,5.58,,,,
Tennessee,14898282,829269.91,5.57,,,,
Idaho,3634887,201979.44,5.56,,,,
Kentucky,9782673,538517.44,5.5,,,,
Virginia,18335817,1009201.58,5.5,,,,
Indiana,14345335,785554.18,5.48,,,,
North Dakota,1645525,89997.67,5.47,,,,
California,72648679,3887075.5,5.35,,,,
Washington,16365162,859254.99,5.25,,,,
Georgia,22120460,1137932.08,5.14,,,,
Colorado,11794212,572069.53,4.85,,,,
Texas,50729937,2415355.11,4.76,,,,
Alaska,1555771,68176,4.38,,,,
Utah,6079456,261152.42,4.3,,,,
District of Columbia,1527261,69562.73,4.55,,,,